nombre,cantidad,anio
Maria,314,1922
Rosa,203,1922
Jose,163,1922
Maria Luisa,127,1922
Carmen,117,1922
Ana,113,1922
Maria Elena,112,1922
Juana,111,1922
Maria Esther,109,1922
Antonio,103,1922
